id,country,region,type,use,Li,Na,Mg,Al,P,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Pd,Sn,Sb,Ba,La,Ce,Pr,Ir,DeltaD,Delta18O,C13,C13protein
M14,Romania,Banat,acacia,model,0.05,14.136,16.9705,0.872,55.654,167.7015,0.2225,1.243,0.4425,6.7775,0.011,0.3985,0.0155,0.442,0.0015,0.1235,0.1765,0.14,0.0095,0.0025,0.007,0.018,0.0,0.1435,0.0,0.0145,0.0015,0.0155,0.0,0.0005,-4.7,0.5,-25.5,-25.991
M15,Romania,Crisana,acacia,model,0.044,51.346,11.2505,0.1875,59.1235,140.289,0.5105,1.6275,0.2815,5.145,0.0165,0.5195,0.0195,0.4885,0.0005,0.14,0.138,0.143,0.0125,0.0,0.0045,0.0275,0.0,0.192,0.003,0.0385,0.0005,0.0105,0.0005,0.001,0.2,-0.5,-25.1,-26.693
M16,Romania,Transylvania,acacia,model,0.0255,11.306,6.147,1.1,57.5575,121.082,0.4915,2.4015,0.3745,9.224,0.0135,0.835,0.049,0.2675,0.005,0.1815,0.1685,0.037,0.01,0.004,0.004,0.024,0.002,0.173,0.0015,0.012,0.0,0.021,0.0005,0.0005,5.3,2.9,-24.9,-25.45
M17,Romania,Transylvania,acacia,model,0.684,153.039,143.528,0.605,175.9585,936.858,0.336,1.576,18.152,10.727,0.0495,3.193,1.3745,3.4665,0.009,0.1205,4.944,0.227,0.0055,0.0015,0.0025,0.0135,0.0,0.1785,0.0,0.691,0.0,0.0015,0.001,0.0005,-23.5,-2.5,-27.1,-27.951
M18,Romania,Transylvania,acacia,model,0.044,15.525,32.89,0.667,66.307,865.0285,0.2715,1.838,1.0785,5.713,0.0315,3.9835,0.4575,0.421,0.0035,0.115,1.013,0.2085,0.0055,0.0215,0.003,0.0185,0.0,0.188,0.0,0.064,0.0005,0.0,0.0005,0.001,-7.7,0.7,-25.0,-25.63
M19,Romania,Dobrogea,acacia,model,0.0255,15.3795,23.2465,0.7565,56.0725,407.066,0.225,3.451,0.871,12.216,0.041,4.4375,0.492,1.253,0.0005,0.129,0.686,0.129,0.0075,0.006,0.0025,0.088,0.0075,0.2675,0.0,0.0585,0.001,0.0175,0.001,0.0005,-21.8,-3.7,-25.0,-26.079
M20,Romania,Dobrogea,linden,model,0.044,14.205,22.631,5.3415,72.0195,190.436,0.28,1.5075,0.5875,5.7345,0.038,3.859,0.1515,0.6855,0.0025,0.159,0.5315,0.104,0.0115,0.0,0.006,0.0035,0.0,0.193,0.0,0.0515,0.0005,0.0,0.001,0.0005,-17.8,-3.1,-25.9,-25.962
M21,Romania,Dobrogea,linden,model,0.017,14.6475,24.1035,2.87,50.075,314.3855,0.251,2.2465,0.78,10.9055,0.036,4.2235,1.045,1.0335,0.0055,0.1385,0.6425,0.107,0.0045,0.028,0.0175,0.03,0.0035,0.1885,0.0,0.19,0.0,0.1755,0.0005,0.003,-11.2,-1.4,-26.2,-27.237
M22,Romania,Transylvania,linden,model,0.0985,16.348,23.107,0.874,62.2695,405.716,0.11,3.131,4.9685,10.74,0.042,4.958,0.6005,0.5145,0.0015,0.137,0.8635,0.2605,0.0075,0.0,0.0035,0.0505,0.0,0.198,0.0005,0.5555,0.0015,0.0125,0.0005,0.0025,-10.6,-3.2,-25.5,-26.026
M23,Romania,Dobrogea,linden,model,0.039,4.5435,11.4695,1.706,49.866,162.6915,0.171,3.77,0.5705,19.2275,0.027,0.6635,0.1715,0.576,0.0015,0.0235,0.3135,0.072,0.0025,0.012,0.015,0.1245,0.0055,0.156,0.0,0.1015,0.0005,0.05,0.0005,0.0005,-1.0,-0.4,-24.1,-24.996
M24,Romania,Muntenia,linden,model,0.0315,17.1605,141.023,4.822,293.2465,1903.447,0.1865,3.0705,9.0085,21.9165,0.026,0.6705,1.0625,0.8755,0.0065,0.1735,3.3835,0.633,0.013,0.0105,0.0065,0.0665,0.005,0.1855,0.001,0.538,0.0055,0.061,0.002,0.002,-16.2,-2.7,-25.5,-27.194
M25,Romania,Transylvania,linden,model,0.0805,15.215,11.5175,0.909,54.7225,165.9525,0.1285,3.3535,0.536,13.5435,0.033,1.5055,0.2045,0.5635,0.003,0.101,0.205,0.0555,0.008,0.0,0.0015,0.083,0.0015,0.1745,0.0,0.033,0.0005,0.0105,0.0,0.001,-18.1,-2.8,-24.1,-25.577
M26,Romania,Banat,linden,model,0.2935,21.267,22.2285,0.2435,70.0615,209.0905,0.121,1.4295,0.2865,7.2645,0.003,0.439,0.1485,0.755,0.001,0.14,0.399,0.08,0.0115,0.0,0.005,0.0025,0.0,0.186,0.0005,0.0055,0.0005,0.0115,0.0,0.001,-20.0,-0.2,-27.3,-27.412
M27,Romania,Transylvania,linden,model,0.0255,20.0705,19.3575,0.653,81.34,206.4255,0.135,2.461,1.0395,10.5215,0.013,0.583,0.105,0.5645,0.0,0.1345,0.4535,0.1565,0.0075,0.0,0.0065,0.0215,0.004,0.0995,0.0005,0.0745,0.001,0.0025,0.0,0.0015,-17.2,0.2,-26.6,-26.883
M28,Romania,Oltenia,linden,model,0.074,26.334,31.941,2.285,98.568,310.671,0.118,6.373,1.308,34.191,0.0525,1.185,0.163,0.838,0.0015,0.0955,1.0045,0.135,0.007,0.005,0.0075,0.333,0.0085,0.133,0.0015,0.106,0.003,0.0275,0.003,0.0025,-7.7,1.9,-24.3,-26.161
M29,Romania,Transylvania,honeydew,model,0.0255,10.4355,4.474,0.4095,51.807,111.4915,0.0730000000000001,4.9535,0.3735,25.3745,0.019,1.0575,0.1,0.2955,0.004,0.0705,0.1465,0.0115,0.008,0.002,0.006,0.1425,0.016,0.1195,0.0005,0.0035,0.003,0.004,0.001,0.0,-5.6,0.4,-25.8,-24.877
